1	inf	3.800000	inf	
2	inf	2.800000	inf	
3	inf	3.200000	5.700000	
4	1.700000	3.600000	5.600000	
5	1.800000	4.000000	5.600000	
6	2.000000	4.400000	5.400000	
7	2.200000	4.600000	5.900000	
8	2.300000	4.700000	5.600000	
9	2.400000	4.800000	6.400000	
10	2.500000	4.900000	6.500000	
11	2.600000	5.000000	6.600000	
12	2.700000	5.100000	6.700000	
13	2.800000	5.200000	6.800000	
14	2.900000	5.300000	6.900000	
15	3.000000	5.400000	6.900000	
16	3.000000	5.400000	7.000000	
17	3.100000	5.500000	7.100000	
18	3.100000	5.500000	7.100000	
19	3.200000	5.600000	7.200000	
20	3.300000	5.700000	7.200000	
21	3.300000	5.700000	7.300000	
22	3.400000	5.800000	7.300000	
23	3.400000	5.800000	7.400000	
24	3.400000	5.800000	7.400000	
25	3.500000	5.900000	7.500000	
26	3.500000	5.900000	7.500000	
27	3.600000	6.000000	7.500000	
28	3.600000	6.000000	7.600000	
29	3.600000	6.000000	7.600000	
30	3.700000	6.100000	7.700000	
